,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
267,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
268,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.082005
269,Lenovo,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,11.289669
270,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
271,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
272,Infinix,Windows,Others,8,Intel,Others,1,14.0,SSD,256,10.274741
273,ASUS,Windows,DDR4,8,AMD,Others,1,15.6,SSD,512,10.950648
274,HP,Windows,DDR4,16,AMD,AMD,1,14.0,SSD,512,11.314364
275,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,1024,11.775221
276,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
277,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
278,DELL,Windows,DDR4,8,AMD,Others,1,15.6,HDD,1024,10.571086
279,HP,Windows,DDR4,16,AMD,Others,1,15.6,HDD,1024,11.289669
280,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
281,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
282,APPLE,Mac,Others,8,Others,Others,1,15.6,SSD,512,11.849334
283,ASUS,Windows,DDR5,16,Intel,Others,1,15.6,SSD,1024,11.608154
284,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,11.951122
285,Lenovo,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,11.050747
286,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
287,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714218
288,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,10.778769
289,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.684371
290,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,11.820344
291,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
292,ASUS,Windows,DDR5,16,AMD,AMD,1,15.6,SSD,512,11.502784
293,Infinix,Windows,Others,16,Intel,Others,1,15.6,SSD,512,10.757711
294,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.491024
295,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
296,ASUS,Windows,DDR5,16,Intel,Others,1,15.6,SSD,1024,11.608154
297,APPLE,Mac,Others,8,Others,Others,1,15.6,SSD,512,11.849334
298,DELL,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,11.222185
299,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
300,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.616437
301,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,11.1489525
302,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,10.59641
303,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
304,ASUS,Windows,Others,16,AMD,AMD,1,15.6,SSD,512,11.5128355
305,APPLE,Mac,Others,16,Others,Others,1,15.6,SSD,1024,12.396656
306,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.621108
307,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
308,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,11.008595
309,HP,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,11.156122
310,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.714218
311,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
312,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.714218
313,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,11.008595
314,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,11.1489525
315,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.616437
316,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
317,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
318,HP,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,10.932946
319,Lenovo,Windows,Others,16,Intel,Others,1,15.6,SSD,512,11.225123
320,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
321,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
322,HP,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,11.156122
323,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.714218
324,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,1024,11.00195
